device_name,device_caption,device_id,device_build,item_name,item_type,item_caption,mode_value,mode_caption,eprom_address
IKTS11,ИКТС-11,6,15,deviceID,unsigned int,Идентификатор контроллера = 6,,,
IKTS11,ИКТС-11,6,15,deviceBuild,unsigned int,Версия прошивки контроллера = 15,,,
IKTS11,ИКТС-11,6,15,deviceRev,unsigned int,Версия ревизии прошивки контроллера,,,
IKTS11,ИКТС-11,6,15,AccessEE,unsigned char,Доступ на запись в EEPROM,54,Доступ на запись в EEPROM открыт,
IKTS11,ИКТС-11,6,15,workTime,unsigned long,"Время работы после включения/перзапуска, сек",,,
IKTS11,ИКТС-11,6,15,RealDensity_him_sens[2],float,"Концентрация газов, измеряемая в реальном времени (ppm, %)",,,
IKTS11,ИКТС-11,6,15,CO,float,"Фиксированная концентрация CO, ppm",,,
IKTS11,ИКТС-11,6,15,NO,float,"Фиксированная концентрация NO, ppm",,,
IKTS11,ИКТС-11,6,15,O2,float,"Концентрация O2 от LSU4, %об",,,
IKTS11,ИКТС-11,6,15,Density_calckNOx,float,"Вычисленная концентрация NOx, ppm",,,
IKTS11,ИКТС-11,6,15,Density_calckCO2,float,"Вычисленная концентрация CO2, ppm",,,
IKTS11,ИКТС-11,6,15,AerAlfa,float,Вычисленный коэффициент избытка воздуха,,,
IKTS11,ИКТС-11,6,15,PerformMax,float,"Вычисленный максимальный КПД котла, %",,,
IKTS11,ИКТС-11,6,15,PerformMin,float,"Вычисленный минимальный КПД котла, %",,,
IKTS11,ИКТС-11,6,15,Param_from_Tok0,float,Результат измерения по токовому входу 0 в единицах измеряемого параметра,,,
IKTS11,ИКТС-11,6,15,Param_from_Tok1,float,Результат измерения по токовому входу 1 в единицах измеряемого параметра,,,
IKTS11,ИКТС-11,6,15,Iheat,float,"Измеренный ток нагревателя, А",,,
IKTS11,ИКТС-11,6,15,Uheat,float,"Измеренное напряжение нагревателя, В",,,
IKTS11,ИКТС-11,6,15,Limited_Tok[3],float,"Ограниченный выходной ток измерительного канала N, мА",,,
IKTS11,ИКТС-11,6,15,Necessary_Tok[3],float,"Вычисленный выходной ток измерительного канала N, мА",,,
IKTS11,ИКТС-11,6,15,Result_Tok0,float,Результат канала входного тока 0 (мА),,,
IKTS11,ИКТС-11,6,15,Result_Tok1,float,Результат канала входного тока 0 (мА),,,
IKTS11,ИКТС-11,6,15,Result_Iheat,float,Ток нагревателя датчика BoshO2 (А),,,
