path,tag,attributes,text
device,device,"{'name': 'IK11', 'caption': 'ИК-11', 'id': '6', 'build': '11'}",
device/ram,ram,{},
device/ram/item,item,"{'name': 'dID', 'type': 'unsigned int', 'caption': 'Ид контр '}",
device/ram/item,item,"{'name': 'ExtCmd', 'caption': 'Внеш команда', 'type': 'unsigned char'}",
device/ram/item/mode,mode,"{'value': '1', 'caption': 'Вкл'}",
device/ram/item/mode,mode,"{'value': '2', 'caption': 'Выкл'}",
device/ram/item/mode,mode,"{'value': '85', 'caption': 'Перезапуск'}",
device/EPROM,EPROM,{'address': '8192'},
device/EPROM/item,item,"{'name': 'deviceDefault', 'caption': 'Если == 0xFF -> восстановление EPROM по умолчанию', 'type': 'unsigned char'}",
device/EPROM/item,item,"{'name': 'ShowMask', 'type': 'unsigned long'}",
device/EPROM/item/mask,mask,"{'value': '0x00000001', 'caption': 'Показывать на индикаторе концентрацию CO'}",
device/EPROM/item/mask,mask,"{'value': '0x00000002', 'caption': 'Показывать на индикаторе концентрацию NO'}",
device/EPROM/item/mask,mask,"{'value': '0x00000004', 'caption': 'Показывать на индикаторе концентрацию O2'}",
device/EPROM/item/mask,mask,"{'value': '0x00000008', 'caption': 'Показывать на индикаторе вычисленную концентрацию NOx'}",
device/EPROM_ADC,EPROM_ADC,{},
device/EPROM_ADC/item,item,"{'name': 'Len_sens', 'caption': 'Длина', 'type': 'unsigned char'}",
